datetime,portfolio_value,cash,positions,return
2022-08-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-08 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-13 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-08-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-15 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-19 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-20 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-08-20 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-22 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-22 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-22 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-24 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-26 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-27 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-08-27 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-29 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-29 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-29 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-30 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-08-31 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-01 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-02 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-03 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-09-03 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-06 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-06 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-07 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-08 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-09 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-10 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-09-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-12 08:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-17 09:29:00-04:00,100000.0,100000.0,[],0.0
2022-09-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2022-09-19 08:30:00-04:00,100000.0,100000.0,[],0.0
